sample_id,authfull,sm-subfield-1,field_type,sample_stratum,rank_global,rank_in_field,scopus_pubs,scopus_citations,scopus_h_index,country,institution,region
1,"Meltzer, David J.",Archaeology,book_heavy,top_quartile,43545,31,116,6559,42,usa,Southern Methodist University,USA
2,"Freestone, Ian C.",Archaeology,book_heavy,top_quartile,85987,66,89,4182,33,gbr,University College London,UK
3,"Dillehay, Tom Dalton",Archaeology,book_heavy,top_quartile,85853,65,107,3677,29,usa,Vanderbilt University,USA
4,"Vigne, Jean Denis",Archaeology,book_heavy,top_quartile,72389,54,131,7200,46,fra,Museum National d'Histoire Naturelle,Other_Europe
5,"Schiffer, Michael Brian",Archaeology,book_heavy,top_quartile,65579,46,66,3411,26,usa,The University of Arizona,USA
6,"O'Connor, Sue",Archaeology,book_heavy,top_quartile,110097,94,160,3987,37,aus,The Australian National University,Asia_Pacific
7,"Buckland, Paul Christopher",Archaeology,book_heavy,bottom_quartile,268906,343,79,1837,26,gbr,Independent Research Worker,UK
8,"Brumm, Adam",Archaeology,book_heavy,bottom_quartile,284376,378,62,2723,24,aus,Griffith University,Asia_Pacific
9,"Nelson, D. Erle",Archaeology,book_heavy,bottom_quartile,284219,377,68,3475,29,can,Simon Fraser University,Other
10,"Clark, Geoffrey A.",Archaeology,book_heavy,bottom_quartile,279422,366,67,1228,21,usa,Arizona State University,USA
11,"Redfern, R. C.",Archaeology,book_heavy,bottom_quartile,276402,358,59,1361,22,gbr,Museum of London,UK
12,"Kohl, Philip L.",Archaeology,book_heavy,bottom_quartile,302832,413,37,980,13,usa,Wellesley College,USA
13,"Crown, Patricia L.",Archaeology,book_heavy,anomaly,325472,449,30,937,15,usa,The University of New Mexico,USA
14,"Gremillion, Kristen J.",Archaeology,book_heavy,anomaly,310923,428,29,1636,19,usa,The Ohio State University,USA
15,"Mirti, Piero",Archaeology,book_heavy,anomaly,316972,439,52,1408,24,ita,Università degli Studi di Torino,Other_Europe
16,"Odell, George Hamley",Archaeology,book_heavy,anomaly,307949,421,33,1372,14,usa,The University of Tulsa,USA
17,"Allen, Jim",Archaeology,book_heavy,anomaly,331628,457,33,1599,20,aus,La Trobe University,Asia_Pacific
18,"Cameron, Catherine M.",Archaeology,book_heavy,anomaly,311099,430,32,896,15,usa,University of Colorado Boulder,USA
19,"Adas, Michael",History,book_heavy,top_quartile,254305,63,29,1216,11,usa,Rutgers University–New Brunswick,USA
20,"Sugrue, Thomas J.",History,book_heavy,top_quartile,210208,41,26,2301,8,usa,New York University,USA
21,"Ghodsee, Kristen R.",History,book_heavy,top_quartile,309977,95,46,763,15,usa,University of Pennsylvania,USA
22,"Benton, Lauren",History,book_heavy,top_quartile,162401,19,51,1351,19,usa,Yale University,USA
23,"Rosenwein, Barbara H.",History,book_heavy,top_quartile,297604,82,28,1275,10,usa,Loyola University Chicago,USA
24,"Bingham, Adrian",History,book_heavy,top_quartile,300099,84,38,870,13,gbr,The University of Sheffield,UK
25,"Garrioch, David",History,book_heavy,bottom_quartile,516998,359,31,588,9,aus,Monash University,Asia_Pacific
26,"Althoff, Gerd",History,book_heavy,bottom_quartile,507906,337,38,442,12,deu,University of Münster,Other_Europe
27,"Brundage, James A.",History,book_heavy,bottom_quartile,547706,404,34,378,12,usa,University of Kansas,USA
28,"Gabaccia, Donna R.",History,book_heavy,bottom_quartile,485144,315,60,1053,11,can,University of Toronto,Other
29,"Frend, William H.C.",History,book_heavy,bottom_quartile,556063,415,46,379,12,gbr,University of Glasgow,UK
30,"Browning, Christopher R.",History,book_heavy,bottom_quartile,536584,385,38,640,8,usa,The University of North Carolina at Chapel Hill,USA
31,"Frend, William H.C.",History,book_heavy,anomaly,556063,415,46,379,12,gbr,University of Glasgow,UK
32,"Goitein, Shelomo Dov F.",History,book_heavy,anomaly,544066,399,16,333,13,usa,Yale University,USA
33,"Brundage, James A.",History,book_heavy,anomaly,547706,404,34,378,12,usa,University of Kansas,USA
34,"Trachtenberg, Marc",History,book_heavy,anomaly,543296,397,29,498,9,usa,"University of California, Los Angeles",USA
35,"Baldwin, Peter C.",History,book_heavy,anomaly,556278,416,23,430,10,usa,University of Connecticut,USA
36,"Stockwell, A. J.",History,book_heavy,anomaly,544287,400,40,364,12,gbr,"Royal Holloway, University of London",UK
37,"Mele, Alfred R.",Philosophy,book_heavy,top_quartile,36329,23,181,4164,30,usa,Florida State University,USA
38,"Floridi, Luciano",Philosophy,book_heavy,top_quartile,2274,1,341,21033,69,usa,Yale University,USA
39,"Stanley, Jason",Philosophy,book_heavy,top_quartile,61899,50,45,4244,21,usa,Yale University,USA
40,"Pettit, Philip N.",Philosophy,book_heavy,top_quartile,12840,5,244,7878,45,aus,The Australian National University,Asia_Pacific
