authfull,inst_name,cntry,np6024,firstyr,lastyr,rank (ns),nc9624 (ns),h24 (ns),hm24 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6024 cited9624 (ns),self%,rank,nc9624,h24,hm24,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6024 cited9624,np6024_rw,nc9624_to_rw,nc9624_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,rank_percentile,field_type,sample_id,replicate
"d'Errico, Francesco",Université de Bordeaux,fra,181,1993,2025,22150,13113,58,27.92158518146874,8,443,57,4390,106,6562,3.948144254958533,5732,2.28768318213538,173,0.1624,20565,15655,63,29.49304982793338,8,513,57,5227,106,7859,4.009049856993252,6232,2.512034659820282,173,0,0,18,Archaeology,0.5580110497237569,Anthropology,0.1215469613259668,Historical Studies,0.7237569060773481,9,12,19563,0-20,book_heavy,1,3
"Craig, Lyn",School of Social and Political Sciences,aus,78,2004,2025,46505,4136,30,21.58333333333334,10,1213,56,3703,70,4027,3.731478005627932,3310,1.249546827794562,71,0.0786,49999,4489,32,22.08333333333334,10,1309,56,4002,70,4352,3.75612659228719,3398,1.321071218363743,72,0,0,1,Sociology,0.1666666666666667,Family Studies,0.1538461538461539,Social Sciences,0.5897435897435898,118,126,11842,20-40,book_heavy,2,3
"Bretz, Stacey Lowery",Ohio Northern University,usa,77,2001,2025,133395,2401,29,17.77777777777778,10,392,16,630,56,2098,3.363876666708516,1615,1.486687306501548,74,0.1034,134914,2678,30,19.77777777777778,10,443,16,714,56,2343,3.412096662608949,1691,1.58367829686576,75,0,0,0,Education,0.8701298701298701,Polymers,0.03896103896103896,Social Sciences,0.8701298701298701,852,893,105560,40-60,book_heavy,3,3
"Yang, Shuching",National Sun Yat-Sen University,twn,100,2000,2025,149968,2377,25,16.48333333333333,15,192,44,1286,73,2008,3.318265285780062,2231,1.065441506051098,89,0.0333,164225,2459,26,17.48333333333333,15,207,44,1327,73,2071,3.335507956596119,2286,1.075678040244969,90,0,0,5,Education,0.48,Languages & Linguistics,0.07,Social Sciences,0.53,1117,1037,105560,60-80,book_heavy,4,3
"Woodhead, Martin",Open University,usa,68,1981,2017,227513,1268,15,12.5,24,543,40,795,63,1268,3.146285769168379,1157,1.095937770095073,29,0.048,250558,1332,16,12.5,24,575,40,837,63,1332,3.160536185996811,1190,1.119327731092437,30,0,0,0,Education,0.1029411764705882,Social Work,0.07352941176470588,Social Sciences,0.7647058823529411,1892,1774,105560,60-80,book_heavy,5,3
"Kuhn, Jochen",Ludwig-Maximilians-Universität München,deu,168,2011,2025,351640,3760,26,12.97287941527072,1,14,19,282,97,1371,2.953404455780589,3010,1.249169435215947,118,0.1615,273140,4484,32,14.55355017819955,1,31,19,408,97,1827,3.123091042498092,3229,1.388665221430784,126,0,0,1,Education,0.2619047619047619,General Physics,0.2559523809523809,Physics & Astronomy,0.4880952380952381,2097,2996,105560,80-100,book_heavy,6,3
"Thatcher, William Watters",University of Florida,usa,402,1965,2025,21795,19784,75,36.91063936063939,4,160,41,1757,199,9805,3.952571210254017,10703,1.848453704568813,388,0.1322,21638,22799,83,38.87866202425031,4,168,41,1957,199,11219,3.995594761219161,11378,2.003779223062049,392,0,0,1,Dairy & Animal Science,0.6840796019900498,Obstetrics & Reproductive Medicine,0.1716417910447761,"Agriculture, Fisheries & Forestry",0.7487562189054726,31,29,72794,0-20,journal_heavy,7,3
"Lindholt, J. Sanddal",Odense Universitetshospital,dnk,374,1993,2025,35761,17969,56,22.58932588073427,18,204,100,3247,199,4704,3.811048693642147,14762,1.217246985503319,321,0.1722,32997,21707,64,23.96008649267136,18,231,100,3821,199,5600,3.879505725166624,16934,1.281858981929845,331,0,0,15,Cardiovascular System & Hematology,0.5374331550802139,General & Internal Medicine,0.1390374331550802,Clinical Medicine,0.9144385026737968,1318,1410,235606,0-20,journal_heavy,8,3
"Goulet, Olivier J.",Hôpital Necker Enfants Malades,fra,504,1985,2024,24259,19570,76,23.2986663876874,45,388,135,2999,198,4762,3.923207090115944,13818,1.41626863511362,410,0.1679,21201,23520,84,26.41193223404148,45,436,135,3621,198,5794,4.00110841292037,15157,1.55175826350861,426,0,0,5,Gastroenterology & Hepatology,0.2361111111111111,Nutrition & Dietetics,0.2043650793650794,Clinical Medicine,0.7242063492063492,328,376,108265,0-20,journal_heavy,9,3
"Rubner, Michael F.",MIT School of Engineering,usa,293,1977,2020,24340,28508,87,38.97619047619047,7,169,18,251,176,20173,3.922338529037994,18597,1.532935419691348,257,0.0592,27934,30302,89,40.10119047619046,7,171,18,260,176,21260,3.925884725973962,19099,1.586575213361956,258,0,0,5,Polymers,0.3208191126279863,Applied Physics,0.1877133105802048,Chemistry,0.3651877133105802,264,207,124976,0-20,journal_heavy,10,3
