model,parameter,estimate,se,ci_lower,ci_upper
Main (no random),Intercept,-0.20423545212230537,0.06860215704641891,-0.33938025306168695,-0.07091752654848064
Main (no random),elsevier_pct_z,0.15589051059190678,0.03843136478366327,0.08062170361256521,0.23098292043048316
Main (no random),books_pct_z,-0.08123690513840172,0.041933067613459024,-0.16423212341734814,-1.3993716679036612e-5
Main (no random),field_type_fmixed,-0.7535965531950406,0.09207022895423642,-0.9335623532264881,-0.5729313940976892
Main (no random),field_type_fbook_heavy,-0.9679930937335145,0.10418136978832687,-1.1729628811557877,-0.7627916094827871
Main (no random),log_works_z,-0.2876257985838279,0.03167274806500191,-0.35186417497266564,-0.22684034372613684
Field intercepts,Intercept,-0.810789218987385,0.10936735597428068,-1.027306113442167,-0.5905543180105908
Field intercepts,elsevier_pct_z,0.13809947919223745,0.04221999258816017,0.05566224605796767,0.22145635801354022
Field intercepts,books_pct_z,-0.09657919846077481,0.044465408418817985,-0.18361849897941748,-0.008608710280328221
Field intercepts,log_works_z,-0.2510663915252562,0.03206306390327469,-0.3144581225048502,-0.18772266171473811
Field int+slope,Intercept,-0.8313218766144093,0.12388765909183858,-1.0765932791907382,-0.585723844736239
Field int+slope,elsevier_pct_z,0.16787726621770266,0.07581481747824684,0.020074748685000428,0.3213161469708144
Field int+slope,books_pct_z,-0.0995139124539135,0.04514772411458053,-0.18799490093683258,-0.010092710808121243
Field int+slope,log_works_z,-0.22632015057818505,0.03150390621678885,-0.2899608486773239,-0.1652693194890338
